1,0,1400,,0,31.174681,1,1,0,0,66,89
1,1,1201,,0,33.730326,2,2,34,11,22,0
1,0,1100,,0,33.812965,2,2,66,89,78,100
1,1,2201,,0,42.611028,1,3,22,0,66,3
1,0,1200,1100,0,46.323501,3,4,34,97,59,95
1,0,1100,,0,47.004714,2,5,59,95,64,94
1,1,1201,,0,47.213716,2,5,41,5,36,6
1,1,1301,,0,48.487897,3,6,36,6,45,5
1,0,1100,,0,49.880983,3,4,55,95,57,93
1,1,1201,,0,50.109404,2,5,43,7,47,11
1,0,1300,2100,0,51.022546,3,6,53,89,69,91
1,0,2100,,0,51.624604,3,6,69,91,75,100
1,1,2201,,0,62.221515,1,3,30,0,40,0
1,0,1100,,0,85.962263,1,3,65,100,81,84
1,1,2201,1401,0,89.008721,3,6,19,16,5,50
1,1,1401,1101,0,92.21616,3,7,5,50,67,44
1,1,1101,,0,95.978416,2,2,67,44,58,45
1,0,2200,,0,96.945738,2,2,33,56,42,55
1,0,2300,3300,0,98.265191,3,6,42,55,36,54
1,0,3300,,0,99.398625,3,6,36,54,36,63
1,1,1301,,0,99.759819,3,6,64,37,70,5
1,0,1200,,0,103.356274,3,8,30,95,72,97
1,1,1201,,0,105.003815,2,2,28,3,39,7
1,0,1100,,0,106.139608,2,2,72,97,61,93
1,1,1301,,0,107.847835,3,6,39,7,27,2
1,0,1100,,0,108.290691,4,9,73,98,70,89
1,1,1201,2101,0,109.025545,3,6,30,11,31,22
1,1,2101,2201,0,111.025997,3,6,31,22,27,23
1,1,2201,1301,0,112.856148,3,8,27,23,36,6
1,1,1301,,0,115.289285,3,6,36,6,35,2
1,0,1100,,0,116.880164,4,9,65,98,66,100
1,1,2201,,0,127.72578,1,3,34,0,66,9
1,0,1200,1100,0,130.65653,3,4,34,91,52,97
1,0,1100,,0,134.603958,2,10,52,97,47,100
1,1,1201,,0,148.68747,1,3,53,0,48,12
1,1,2101,3201,0,151.85275,3,6,48,12,46,56
1,1,3201,2301,0,154.636116,3,6,46,56,56,68
1,1,2301,,0,158.518016,3,8,56,68,86,35
1,0,1200,1400,0,161.22147,3,6,14,65,11,50
1,0,1400,1400,0,164.626056,3,11,11,50,5,45
1,0,1400,,0,169.314197,3,7,5,45,47,89
1,1,1201,,0,171.93773,2,2,53,11,91,18
1,0,1400,,0,176.839196,3,7,9,82,62,91
1,1,1201,,0,180.250219,2,2,38,9,59,14
1,0,1100,,0,180.832306,2,2,62,91,41,86
1,0,3300,,0,183.458434,4,9,41,86,35,90
1,0,1200,,0,183.987009,2,5,35,90,28,94
1,1,1301,,0,184.284749,2,5,65,10,72,6
1,0,1200,,0,188.328112,4,9,28,94,32,90
1,1,1301,,0,188.662037,2,12,68,10,75,0
1,0,1200,,0,190.329509,2,10,32,90,25,100
1,0,1200,,0,201.192228,1,3,25,100,39,95
1,0,2100,,0,203.18357,2,12,39,95,44,95
1,1,1301,,0,203.344659,2,10,61,5,56,5
